VendorID	tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	PULocationID	DOLocationID	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
1	2018-01-01 00:01:46	2018-01-01 00:11:06	2	1.1	1	N	249	79	1	7.5	0.5	0.5	1.75	0.0	0.3	10.55
1	2018-01-01 00:01:47	2018-01-01 00:25:42	1	4.1	1	N	255	7	2	18.0	0.5	0.5	0.0	0.0	0.3	19.3
2	2018-01-01 00:01:48	2018-01-01 00:29:33	2	6.07	1	N	148	142	1	23.0	0.5	0.5	4.86	0.0	0.3	29.16
2	2018-01-01 00:01:48	2018-01-01 00:18:06	1	0.7	1	N	164	100	1	10.5	0.5	0.5	3.54	0.0	0.3	15.34
1	2018-01-01 00:01:48	2018-01-01 00:04:23	1		1	N	170	164	1	4.0	0.5	0.5	0.0	0.0	0.3	5.3
2	2018-01-01 00:01:51	2018-01-01 00:12:44	2	1.61	1	N	162	234	2	8.5	0.5	0.5	0.0	0.0	0.3	9.8
1	2018-01-01 00:01:52	2018-01-01 00:12:54	1	2.0	1	N	163	137	1	9.5	0.5	0.5	2.15	0.0	0.3	12.95
1	2018-01-01 00:01:52	2018-01-01 00:21:40	2	4.6	1	N	148	36	1	18.0	0.5	0.5	3.0	0.0	0.3	22.3
2	2018-01-01 00:01:52	2018-01-01 00:15:28	2	2.15	1	N	79	170	1	10.5	0.5	0.5	2.36	0.0	0.3	14.16
1	2018-01-01 00:01:54	2018-01-01 00:14:38	1	1.3	1	N	50	48	2	9.5	0.5	0.5	0.0	0.0	0.3	10.8
2	2018-01-01 00:01:54	2018-01-01 00:08:40	6	1.02	1	N	264	264	1	6.0	0.5	0.5	1.46	0.0	0.3	8.76
1	2018-01-01 00:01:55	2018-01-01 00:09:40	1	1.8	1	N	141	236	1	8.0	0.5	0.5	1.85	0.0	0.3	11.15
2	2018-01-01 00:01:56	2018-01-01 00:22:16	6	9.13	1	N	138	233	1	27.0	0.5	0.5	5.66	0.0	0.3	33.96
1	2018-01-01 00:01:57	2018-01-01 00:19:50	2	3.6	1	N	148	49	1	16.0	0.5	0.5	5.15	0.0	0.3	22.45
2	2018-01-01 00:01:58	2018-01-01 00:18:31	1	2.81	1	N	163	79	1	12.5	0.5	0.5	2.76	0.0	0.3	16.56
1	2018-01-01 00:01:58	2018-01-01 00:08:51	1	0.8	1	N	264	264	1	6.0	0.5	0.5	1.45	0.0	0.3	8.75
1	2018-01-01 00:01:58	2018-01-01 00:05:53	2	0.8	2	N	170	107	1	52.0	0.0	0.5	11.7	5.76	0.3	70.26
2	2018-01-01 00:01:59	2018-01-01 00:14:42	6	5.19	1	N	236	79	1	17.0	0.5	0.5	0.0	0.0	0.3	18.3
1	2018-01-01 00:02:00	2018-01-01 00:13:44	1	1.5	1	N	239	48	1	9.5	0.5	0.5	2.0	0.0	0.3	12.8
2	2018-01-01 00:02:00	2018-01-01 00:16:12	2	3.13	1	N	50	158	1	12.0	0.5	0.5	1.0	0.0	0.3	14.3
2	2018-01-01 00:02:00	2018-01-01 00:10:58	2	1.01	1	N	4	114	1	7.5	0.5	0.5	0.0	0.0	0.3	8.8
2	2018-01-01 00:02:04	2018-01-01 00:04:17	1	0.26	1	N	50	48	2	3.5	0.5	0.5	0.0	0.0	0.3	4.8
1	2018-01-01 00:02:05	2018-01-01 00:09:51	1	1.5	1	N	107	4	2	7.5	0.5	0.5	0.0	0.0	0.3	8.8
2	2018-01-01 00:02:06	2018-01-01 00:31:32	6	1.21	1	N	234	170	1	17.0	0.5	0.5	0.0	0.0	0.3	18.3
1	2018-01-01 00:02:06	2018-01-01 00:06:27	1	0.8	1	N	263	74	1	5.5	0.5	0.5	2.0	0.0	0.3	8.8
1	2018-01-01 00:02:08	2018-01-01 00:02:08	4	0.0	1	N	90	264	2	2.5	0.5	0.5	0.0	0.0	0.3	3.8
1	2018-01-01 00:02:09	2018-01-01 00:19:24	1	2.7	1	N	114	162	2	13.0	0.5	0.5	0.0	0.0	0.3	14.3
2	2018-01-01 00:02:10	2018-01-01 00:22:54	1	4.29	1	N	161	226	2	18.0	0.5	0.5	0.0	0.0	0.3	19.3
2	2018-01-01 00:02:11	2018-01-01 00:07:24	1	0.95	1	N	234	249	1	5.5	0.5	0.5	2.04	0.0	0.3	8.84
1	2018-01-01 00:02:11	2018-01-01 00:13:42	1	1.8	1	N	152	74	1	9.5	0.5	0.5	2.15	0.0	0.3	12.95
2	2018-01-01 00:02:11	2018-01-01 00:20:05	1	3.37	1	N	233	50	2	14.5	0.5	0.5	0.0	0.0	0.3	15.8
2	2018-01-01 00:02:11	2018-01-01 00:11:20	2	1.93	1	N	238	262	2	9.0	0.5	0.5	0.0	0.0	0.3	10.3
2	2018-01-01 00:02:12	2018-01-01 00:29:07	1	7.01	1	N	144	226	2	24.0	0.5	0.5	0.0	0.0	0.3	25.3
1	2018-01-01 00:02:12	2018-01-01 00:14:01	1	1.6	1	N	79	144	1	9.5	0.5	0.5	3.2	0.0	0.3	14.0
2	2018-01-01 00:02:12	2018-01-01 00:34:04	2	1.66	1	N	186	68	1	18.5	0.5	0.5	0.0	0.0	0.3	19.8
1	2018-01-01 00:02:12	2018-01-01 00:06:10	2	0.4	1	N	164	137	2	4.5	0.5	0.5	0.0	0.0	0.3	5.8
1	2018-01-01 00:02:12	2018-01-01 00:22:35	1	11.9	1	N	138	51	2	33.5	0.5	0.5	0.0	5.76	0.3	40.56
1	2018-01-01 00:02:12	2018-01-01 00:35:56	4	6.8	1	N	161	80	2	26.0	0.5	0.5	0.0	0.0	0.3	27.3
2	2018-01-01 00:02:13	2018-01-01 00:06:49	1	0.59	1	N	68	249	1	5.0	0.5	0.5	1.26	0.0	0.3	7.56
1	2018-01-01 00:02:13	2018-01-01 00:13:03	2	1.7	1	N	75	263	1	9.0	0.5	0.5	2.05	0.0	0.3	12.35
2	2018-01-01 00:02:13	2018-01-01 00:17:54	1	0.68	1	N	170	186	2	10.5	0.5	0.5	0.0	0.0	0.3	11.8
1	2018-01-01 00:02:15	2018-01-01 00:03:43	1	0.1	1	N	244	244	2	3.0	0.5	0.5	0.0	0.0	0.3	4.3
1	2018-01-01 00:02:16	2018-01-01 00:26:04	1	18.5	2	N	132	75	1	52.0	0.0	0.5	14.6	5.76	0.3	73.16
1	2018-01-01 00:02:16	2018-01-01 00:40:28	1	22.5	1	N	132	181	2	61.5	0.5	0.5	0.0	0.0	0.3	62.8
1	2018-01-01 00:02:16	2018-01-01 00:17:26	2	1.7	1	N	234	224	1	11.0	0.5	0.5	3.05	0.0	0.3	15.35
2	2018-01-01 00:02:17	2018-01-01 00:25:08	1	10.53	1	N	107	243	1	31.5	0.5	0.5	6.56	0.0	0.3	39.36
1	2018-01-01 00:02:17	2018-01-01 00:07:53	2	1.1	1	N	79	137	1	6.0	0.5	0.5	2.0	0.0	0.3	9.3
2	2018-01-01 00:02:18	2018-01-01 00:48:29	1	2.55	1	N	161	48	2	25.5	0.5	0.5	0.0	0.0	0.3	26.8
2	2018-01-01 00:02:18	2018-01-01 00:03:23	1	0.19	1	N	43	163	2	3.0	0.5	0.5	0.0	0.0	0.3	4.3
1	2018-01-01 00:02:18	2018-01-01 00:10:08	2	1.7	1	N	79	261	1	8.5	0.5	0.5	2.45	0.0	0.3	12.25
1	2018-01-01 00:02:19	2018-01-01 00:21:57	1	0.6	1	N	161	170	2	12.0	0.5	0.5	0.0	0.0	0.3	13.3
2	2018-01-01 00:02:22	2018-01-01 00:09:14	1	2.03	1	N	170	141	2	8.0	0.5	0.5	0.0	0.0	0.3	9.3
2	2018-01-01 00:02:25	2018-01-01 00:20:37	6	3.97	1	N	90	263	1	15.0	0.5	0.5	0.5	0.0	0.3	16.8
2	2018-01-01 00:02:25	2018-01-01 00:07:08	1	0.7	1	N	239	238	2	5.0	0.5	0.5	0.0	0.0	0.3	6.3
2	2018-01-01 00:02:25	2018-01-01 00:10:49	1	1.15	1	N	114	158	1	7.0	0.5	0.5	2.08	0.0	0.3	10.38
2	2018-01-01 00:02:25	2018-01-01 00:10:09	3	1.4	1	N	264	264	2	7.5	0.5	0.5	0.0	0.0	0.3	8.8
1	2018-01-01 00:02:25	2018-01-01 00:12:32	1	0.3	1	N	142	48	1	7.5	0.5	0.5	1.75	0.0	0.3	10.55
2	2018-01-01 00:02:25	2018-01-01 00:32:48	1	5.5	1	N	42	163	1	22.5	0.5	0.5	0.0	0.0	0.3	23.8
1	2018-01-01 00:02:26	2018-01-01 00:19:26	4	4.5	1	N	232	140	2	16.0	0.5	0.5	0.0	0.0	0.3	17.3
1	2018-01-01 00:02:26	2018-01-01 00:07:40	1	0.8	1	N	125	158	1	5.5	0.5	0.5	1.35	0.0	0.3	8.15
1	2018-01-01 00:02:27	2018-01-01 00:15:01	1	6.2	1	N	79	74	1	18.0	0.5	0.5	5.75	0.0	0.3	25.05
1	2018-01-01 00:02:27	2018-01-01 00:04:32	1	0.3	1	N	229	141	2	3.5	0.5	0.5	0.0	0.0	0.3	4.8
2	2018-01-01 00:02:27	2018-01-01 00:11:15	1	3.43	1	N	88	4	2	11.5	0.5	0.5	0.0	0.0	0.3	12.8
2	2018-01-01 00:02:27	2018-01-01 00:20:11	2	4.32	1	N	142	75	2	16.0	0.5	0.5	0.0	0.0	0.3	17.3
1	2018-01-01 00:02:27	2018-01-01 00:07:34	3	0.3	1	N	148	148	2	5.0	0.5	0.5	0.0	0.0	0.3	6.3
2	2018-01-01 00:02:28	2018-01-01 00:17:14	5	4.8	1	N	161	42	2	15.5	0.5	0.5	0.0	0.0	0.3	16.8
1	2018-01-01 00:02:31	2018-01-01 00:23:02	3	4.5	1	N	87	68	1	17.5	0.5	0.5	2.0	0.0	0.3	20.8
2	2018-01-01 00:02:31	2018-01-01 00:04:38	2	0.26	1	N	79	79	2	3.5	0.5	0.5	0.0	0.0	0.3	4.8
2	2018-01-01 00:02:31	2018-01-01 00:16:03	5	1.94	1	N	79	137	1	10.0	0.5	0.5	2.26	0.0	0.3	13.56
2	2018-01-01 00:02:31	2018-01-01 00:02:42	5	0.0	1	N	166	166	1	2.5	0.5	0.5	13.0	0.0	0.3	16.8
2	2018-01-01 00:02:33	2018-01-01 00:14:15	3	2.89	1	N	79	87	1	11.0	0.5	0.5	2.46	0.0	0.3	14.76
1	2018-01-01 00:02:34	2018-01-01 00:22:36	1	2.6	1	N	42	75	1	14.5	0.5	0.5	0.0	0.0	0.3	15.8
1	2018-01-01 00:02:36	2018-01-01 00:36:00	2	2.9	1	N	249	161	1	20.0	0.5	0.5	2.0	0.0	0.3	23.3
2	2018-01-01 00:02:38	2018-01-01 00:05:20	1	0.4	1	N	231	231	2	3.5	0.5	0.5	0.0	0.0	0.3	4.8
1	2018-01-01 00:02:39	2018-01-01 00:23:51	1	8.6	1	N	138	225	1	26.5	0.5	0.5	4.0	0.0	0.3	31.8
1	2018-01-01 00:02:39	2018-01-01 00:13:27	2	2.2	1	N	142	229	1	10.0	0.5	0.5	2.25	0.0	0.3	13.55
1	2018-01-01 00:02:40	2018-01-01 00:02:40	1	0.0	5	N	237	264	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2018-01-01 00:02:43	2018-01-01 00:30:58	5	8.56	1	N	113	159	2	29.0	0.5	0.5	0.0	0.0	0.3	30.3
2	2018-01-01 00:02:44	2018-01-01 00:03:04	1	0.0	5	N	264	68	1	8.88	0.0	0.5	0.0	0.0	0.3	9.68
1	2018-01-01 00:02:45	2018-01-01 00:13:32	1	4.5	1	N	132	10	2	14.5	0.5	0.5	0.0	0.0	0.3	15.8
2	2018-01-01 00:02:47	2018-01-01 00:05:44	1	0.45	1	N	224	224	2	4.0	0.5	0.5	0.0	0.0	0.3	5.3
2	2018-01-01 00:02:48	2018-01-01 00:19:09	6	6.45	1	N	137	260	2	20.5	0.5	0.5	0.0	5.76	0.3	27.56
2	2018-01-01 00:02:48	2018-01-01 00:05:48	1	0.57	1	N	90	68	1	4.5	0.5	0.5	1.5	0.0	0.3	7.3
2	2018-01-01 00:02:50	2018-01-01 00:16:21	1	2.82	1	N	79	256	1	12.5	0.5	0.5	2.76	0.0	0.3	16.56
2	2018-01-01 00:02:50	2018-01-01 00:16:17	5	1.45	1	N	107	68	2	8.5	0.5	0.5	0.0	0.0	0.3	9.8
